BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
N2                                                              
bolsigdb_air.dat
--------------------------------------------------
N2(v1)                                                          
bolsigdb_air.dat
--------------------------------------------------
N2(A3)                                                          
bolsigdb_air.dat
--------------------------------------------------
N                                                               
bolsigdb_air.dat
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        300.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.2446E+26
Ion charge parameter                       1.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           200.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-03
Maximum # of iterations                    1000.    
Mole fraction N2                          0.9997    
Mole fraction N2(v1)                      0.1000E-03
Mole fraction N2(A3)                      0.1000E-03
Mole fraction N                           0.1000E-03
 
 
Energy (eV) 	Electric field / N (Td)                                         
0.2485	0.1000E-01
0.2552	0.1033E-01
0.2621	0.1068E-01
0.2691	0.1104E-01
0.2763	0.1141E-01
0.2837	0.1179E-01
0.2913	0.1218E-01
0.2990	0.1259E-01
0.3069	0.1301E-01
0.3150	0.1344E-01
0.3233	0.1389E-01
0.3317	0.1436E-01
0.3403	0.1484E-01
0.3491	0.1533E-01
0.3581	0.1585E-01
0.3672	0.1638E-01
0.3765	0.1693E-01
0.3860	0.1749E-01
0.3956	0.1808E-01
0.4054	0.1868E-01
0.4153	0.1930E-01
0.4254	0.1995E-01
0.4356	0.2062E-01
0.4459	0.2131E-01
0.4564	0.2202E-01
0.4669	0.2276E-01
0.4776	0.2352E-01
0.4883	0.2430E-01
0.4991	0.2511E-01
0.5099	0.2595E-01
0.5207	0.2682E-01
0.5316	0.2772E-01
0.5425	0.2865E-01
0.5533	0.2960E-01
0.5641	0.3059E-01
0.5749	0.3162E-01
0.5855	0.3267E-01
0.5961	0.3377E-01
0.6066	0.3489E-01
0.6169	0.3606E-01
0.6272	0.3727E-01
0.6372	0.3851E-01
0.6471	0.3980E-01
0.6568	0.4113E-01
0.6663	0.4251E-01
0.6755	0.4393E-01
0.6846	0.4540E-01
0.6934	0.4691E-01
0.7020	0.4848E-01
0.7104	0.5010E-01
0.7185	0.5178E-01
0.7263	0.5351E-01
0.7339	0.5530E-01
0.7412	0.5715E-01
0.7483	0.5906E-01
0.7551	0.6103E-01
0.7617	0.6307E-01
0.7680	0.6518E-01
0.7740	0.6736E-01
0.7798	0.6962E-01
0.7854	0.7194E-01
0.7907	0.7435E-01
0.7958	0.7683E-01
0.8006	0.7940E-01
0.8052	0.8206E-01
0.8097	0.8480E-01
0.8139	0.8764E-01
0.8179	0.9057E-01
0.8217	0.9360E-01
0.8253	0.9672E-01
0.8288	0.1000
0.8320	0.1033
0.8351	0.1068
0.8381	0.1103
0.8409	0.1140
0.8436	0.1178
0.8461	0.1218
0.8484	0.1258
0.8508	0.1300
0.8530	0.1344
0.8550	0.1389
0.8570	0.1435
0.8588	0.1483
0.8606	0.1533
0.8622	0.1584
0.8638	0.1637
0.8653	0.1692
0.8668	0.1748
0.8681	0.1807
0.8695	0.1867
0.8707	0.1930
0.8719	0.1994
0.8730	0.2061
0.8741	0.2130
0.8752	0.2201
0.8762	0.2275
0.8771	0.2351
0.8780	0.2429
0.8789	0.2510
0.8798	0.2594
0.8806	0.2681
0.8814	0.2771
0.8822	0.2863
0.8829	0.2959
0.8836	0.3058
0.8844	0.3160
0.8850	0.3266
0.8857	0.3375
0.8864	0.3488
0.8870	0.3605
0.8876	0.3725
0.8883	0.3850
0.8889	0.3978
0.8895	0.4111
0.8901	0.4249
0.8907	0.4391
0.8913	0.4538
0.8919	0.4690
0.8925	0.4846
0.8931	0.5008
0.8937	0.5176
0.8943	0.5349
0.8949	0.5528
0.8955	0.5712
0.8961	0.5903
0.8967	0.6101
0.8972	0.6305
0.8979	0.6516
0.8985	0.6734
0.8991	0.6959
0.8997	0.7191
0.9004	0.7432
0.9010	0.7680
0.9017	0.7937
0.9023	0.8202
0.9030	0.8477
0.9037	0.8760
0.9044	0.9053
0.9050	0.9356
0.9058	0.9668
0.9065	0.9992
0.9073	1.033
0.9081	1.067
0.9089	1.103
0.9096	1.140
0.9105	1.178
0.9113	1.217
0.9122	1.258
0.9131	1.300
0.9140	1.343
0.9149	1.388
0.9158	1.435
0.9168	1.483
0.9176	1.532
0.9187	1.583
0.9197	1.636
0.9207	1.691
0.9218	1.748
0.9229	1.806
0.9240	1.866
0.9251	1.929
0.9262	1.993
0.9274	2.060
0.9286	2.129
0.9298	2.200
0.9311	2.274
0.9323	2.350
0.9336	2.428
0.9350	2.509
0.9363	2.593
0.9377	2.680
0.9391	2.770
0.9406	2.862
0.9420	2.958
0.9435	3.057
0.9450	3.159
0.9465	3.265
0.9481	3.374
0.9497	3.487
0.9513	3.603
0.9530	3.724
0.9546	3.848
0.9564	3.977
0.9578	4.110
0.9595	4.247
0.9613	4.389
0.9630	4.536
0.9648	4.688
0.9666	4.844
0.9684	5.006
0.9703	5.174
0.9721	5.347
0.9739	5.525
0.9759	5.710
0.9778	5.901
0.9796	6.098
0.9816	6.302
0.9835	6.513
0.9855	6.731
0.9875	6.956
0.9894	7.188
0.9914	7.429
0.9934	7.677
0.9954	7.934
0.9974	8.199
0.9994	8.473
1.001	8.756
1.003	9.049
1.005	9.352
1.008	9.664
1.010	9.988
1.012	10.32
1.014	10.67
1.016	11.02
1.018	11.39
1.020	11.77
1.022	12.17
1.024	12.57
1.026	12.99
1.028	13.43
1.030	13.88
1.032	14.34
1.034	14.82
1.036	15.32
1.038	15.83
1.040	16.36
