BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
N2                                                              
bolsigdb_air.dat
--------------------------------------------------
N2(v1)                                                          
bolsigdb_air.dat
--------------------------------------------------
N2(v2)                                                          
bolsigdb_air.dat
--------------------------------------------------
N2(v3)                                                          
bolsigdb_air.dat
--------------------------------------------------
N2(v4)                                                          
bolsigdb_air.dat
--------------------------------------------------
N2(v5)                                                          
bolsigdb_air.dat
--------------------------------------------------
N2(v6)                                                          
bolsigdb_air.dat
--------------------------------------------------
N2(v7)                                                          
bolsigdb_air.dat
--------------------------------------------------
N2(v8)                                                          
bolsigdb_air.dat
--------------------------------------------------
N2(A3)                                                          
bolsigdb_air.dat
--------------------------------------------------
N                                                               
bolsigdb_air.dat
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        300.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.2446E+26
Ion charge parameter                       1.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           200.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-03
Maximum # of iterations                    1000.    
Mole fraction N2                          0.9997    
Mole fraction N2(v1)                      0.3000E-04
Mole fraction N2(v2)                      0.3000E-04
Mole fraction N2(v3)                      0.3000E-04
Mole fraction N2(v4)                      0.3000E-04
Mole fraction N2(v5)                      0.3000E-04
Mole fraction N2(v6)                      0.3000E-04
Mole fraction N2(v7)                      0.3000E-04
Mole fraction N2(v8)                      0.3000E-04
Mole fraction N2(A3)                      0.3000E-04
Mole fraction N                           0.3000E-04
 
 
Energy (eV) 	Electric field / N (Td)                                         
0.1080	0.1000E-01
0.1088	0.1033E-01
0.1096	0.1068E-01
0.1105	0.1104E-01
0.1113	0.1141E-01
0.1122	0.1179E-01
0.1130	0.1218E-01
0.1139	0.1259E-01
0.1147	0.1301E-01
0.1156	0.1344E-01
0.1165	0.1389E-01
0.1174	0.1436E-01
0.1183	0.1484E-01
0.1192	0.1533E-01
0.1201	0.1585E-01
0.1210	0.1638E-01
0.1220	0.1693E-01
0.1230	0.1749E-01
0.1239	0.1808E-01
0.1249	0.1868E-01
0.1259	0.1930E-01
0.1270	0.1995E-01
0.1280	0.2062E-01
0.1291	0.2131E-01
0.1302	0.2202E-01
0.1313	0.2276E-01
0.1324	0.2352E-01
0.1336	0.2430E-01
0.1348	0.2511E-01
0.1360	0.2595E-01
0.1372	0.2682E-01
0.1385	0.2772E-01
0.1397	0.2865E-01
0.1411	0.2960E-01
0.1424	0.3059E-01
0.1438	0.3162E-01
0.1452	0.3267E-01
0.1467	0.3377E-01
0.1482	0.3489E-01
0.1497	0.3606E-01
0.1513	0.3727E-01
0.1529	0.3851E-01
0.1545	0.3980E-01
0.1562	0.4113E-01
0.1579	0.4251E-01
0.1597	0.4393E-01
0.1615	0.4540E-01
0.1634	0.4691E-01
0.1653	0.4848E-01
0.1673	0.5010E-01
0.1693	0.5178E-01
0.1713	0.5351E-01
0.1735	0.5530E-01
0.1756	0.5715E-01
0.1778	0.5906E-01
0.1801	0.6103E-01
0.1824	0.6307E-01
0.1848	0.6518E-01
0.1872	0.6736E-01
0.1897	0.6962E-01
0.1923	0.7194E-01
0.1949	0.7435E-01
0.1976	0.7683E-01
0.2004	0.7940E-01
0.2032	0.8206E-01
0.2061	0.8480E-01
0.2091	0.8764E-01
0.2121	0.9057E-01
0.2153	0.9360E-01
1.117	0.9672E-01
1.116	0.1000
1.114	0.1033
1.113	0.1068
1.111	0.1103
1.109	0.1140
1.107	0.1178
1.105	0.1218
1.102	0.1258
1.100	0.1300
1.097	0.1344
1.095	0.1389
1.092	0.1435
1.089	0.1483
1.086	0.1533
1.082	0.1584
1.079	0.1637
1.076	0.1692
1.072	0.1748
1.068	0.1807
1.065	0.1867
1.061	0.1930
1.057	0.1994
1.053	0.2061
1.049	0.2130
1.045	0.2201
1.040	0.2275
1.036	0.2351
1.032	0.2429
1.027	0.2510
1.023	0.2594
1.019	0.2681
1.015	0.2771
1.010	0.2863
1.006	0.2959
1.002	0.3058
0.9980	0.3160
0.9940	0.3266
0.9901	0.3375
0.9862	0.3488
0.9825	0.3605
0.9789	0.3725
0.9753	0.3850
0.9719	0.3978
0.9686	0.4111
0.9654	0.4249
0.9624	0.4391
0.9594	0.4538
0.9566	0.4690
0.9539	0.4846
0.9514	0.5008
0.9489	0.5176
0.9466	0.5349
0.9444	0.5528
0.9424	0.5712
0.9405	0.5903
0.9386	0.6101
0.9369	0.6305
0.9353	0.6516
0.9339	0.6734
0.9325	0.6959
0.9313	0.7191
0.9301	0.7432
0.9291	0.7680
0.9281	0.7937
0.9272	0.8202
0.9265	0.8477
0.9258	0.8760
0.9252	0.9053
0.9247	0.9356
0.9243	0.9668
0.9239	0.9992
0.9236	1.033
0.9234	1.067
0.9233	1.103
0.9232	1.140
0.9232	1.178
0.9233	1.217
0.9234	1.258
0.9236	1.300
0.9239	1.343
0.9242	1.388
0.9245	1.435
0.9249	1.483
0.9254	1.532
0.9259	1.583
0.9265	1.636
0.9271	1.691
0.9278	1.748
0.9285	1.806
0.9293	1.866
0.9301	1.929
0.9309	1.993
0.9323	2.060
0.9332	2.129
0.9342	2.200
0.9352	2.274
0.9362	2.350
0.9373	2.428
0.9384	2.509
0.9396	2.593
0.9408	2.680
0.9420	2.770
0.9433	2.862
0.9446	2.958
0.9459	3.057
0.9473	3.159
0.9487	3.265
0.9501	3.374
0.9516	3.487
0.9531	3.603
0.9546	3.724
0.9562	3.848
0.9577	3.977
0.9593	4.110
0.9610	4.247
0.9626	4.389
0.9643	4.536
0.9660	4.688
0.9678	4.844
0.9695	5.006
0.9713	5.174
0.9731	5.347
0.9749	5.525
0.9768	5.710
0.9786	5.901
0.9805	6.098
0.9825	6.302
0.9844	6.513
0.9863	6.731
0.9882	6.956
0.9902	7.188
0.9921	7.429
0.9941	7.677
0.9960	7.934
0.9980	8.199
1.000	8.473
1.002	8.756
1.004	9.049
1.006	9.352
1.008	9.664
1.010	9.988
1.012	10.32
1.014	10.67
1.016	11.02
1.018	11.39
1.020	11.77
1.022	12.17
1.024	12.57
1.026	12.99
1.028	13.43
1.030	13.88
1.032	14.34
1.034	14.82
1.036	15.32
1.038	15.83
1.041	16.36
1.043	16.90
1.045	17.47
1.047	18.05
1.049	18.66
1.051	19.28
1.053	19.93
1.055	20.59
1.057	21.28
1.060	21.99
1.062	22.73
1.064	23.49
1.066	24.27
1.069	25.08
1.071	25.92
1.074	26.79
1.077	27.68
1.080	28.61
1.082	29.57
1.085	30.56
1.087	31.58
1.091	32.63
1.094	33.72
1.098	34.85
1.101	36.02
1.106	37.22
1.110	38.47
1.115	39.75
1.122	41.08
1.128	42.45
1.135	43.87
1.144	45.34
1.153	46.86
1.164	48.42
1.177	50.04
1.192	51.71
1.208	53.44
1.228	55.23
1.250	57.08
1.276	58.99
1.305	60.96
1.338	63.00
1.375	65.10
1.417	67.28
1.464	69.53
1.516	71.85
1.574	74.26
1.637	76.74
1.707	79.30
1.782	81.96
1.865	84.70
1.953	87.53
2.046	90.45
2.145	93.48
2.250	96.60
2.359	99.83
2.473	103.2
2.593	106.6
2.715	110.2
2.840	113.9
2.968	117.7
3.098	121.6
3.230	125.7
3.364	129.9
3.498	134.2
3.633	138.7
3.768	143.3
3.904	148.1
4.039	153.1
4.174	158.2
4.308	163.5
4.441	169.0
4.574	174.6
4.708	180.5
4.842	186.5
4.974	192.7
5.106	199.2
5.239	205.8
5.371	212.7
5.503	219.8
5.636	227.2
5.769	234.8
5.903	242.6
6.039	250.7
6.175	259.1
6.313	267.8
6.452	276.7
6.594	286.0
6.737	295.5
6.883	305.4
7.032	315.6
7.183	326.2
7.338	337.1
7.496	348.4
7.654	360.0
7.819	372.1
7.989	384.5
8.163	397.3
8.341	410.6
8.527	424.4
8.715	438.5
8.909	453.2
9.108	468.4
9.313	484.0
9.523	500.2
9.741	516.9
9.964	534.2
10.20	552.1
10.43	570.5
10.68	589.6
10.93	609.3
11.19	629.7
11.46	650.8
11.74	672.5
12.03	695.0
12.32	718.2
12.63	742.2
12.95	767.1
13.28	792.7
13.62	819.2
13.97	846.6
14.33	874.9
14.71	904.2
15.09	934.4
15.49	965.6
15.91	997.9
16.34	1031.
16.78	1066.
17.25	1101.
17.72	1138.
18.22	1176.
18.73	1216.
19.26	1256.
19.82	1298.
20.39	1342.
20.98	1387.
21.60	1433.
22.24	1481.
22.90	1530.
23.59	1581.
24.31	1634.
25.05	1689.
25.83	1745.
26.64	1804.
27.47	1864.
28.35	1926.
29.26	1991.
30.20	2057.
31.19	2126.
32.22	2197.
33.29	2271.
34.40	2347.
35.57	2425.
36.79	2506.
38.05	2590.
39.38	2677.
40.77	2766.
42.22	2859.
43.74	2954.
45.32	3053.
46.98	3155.
48.72	3261.
50.55	3370.
52.46	3482.
54.46	3599.
56.57	3719.
58.78	3843.
61.10	3972.
63.54	4105.
66.10	4242.
68.80	4384.
71.64	4530.
74.63	4682.
77.79	4838.
81.11	5000.
 
 
Energy (eV) 	Grid type                                                       
0.1080	0.000
0.1088	3.000
0.1096	3.000
0.1105	3.000
0.1113	3.000
0.1122	3.000
0.1130	3.000
0.1139	3.000
0.1147	3.000
0.1156	3.000
0.1165	3.000
0.1174	3.000
0.1183	3.000
0.1192	3.000
0.1201	3.000
0.1210	3.000
0.1220	3.000
0.1230	3.000
0.1239	3.000
0.1249	3.000
0.1259	3.000
0.1270	3.000
0.1280	3.000
0.1291	3.000
0.1302	3.000
0.1313	3.000
0.1324	3.000
0.1336	3.000
0.1348	3.000
0.1360	3.000
0.1372	3.000
0.1385	3.000
0.1397	3.000
0.1411	3.000
0.1424	3.000
0.1438	3.000
0.1452	3.000
0.1467	3.000
0.1482	3.000
0.1497	3.000
0.1513	3.000
0.1529	3.000
0.1545	3.000
0.1562	3.000
0.1579	3.000
0.1597	3.000
0.1615	3.000
0.1634	3.000
0.1653	3.000
0.1673	3.000
0.1693	3.000
0.1713	3.000
0.1735	3.000
0.1756	3.000
0.1778	3.000
0.1801	3.000
0.1824	3.000
0.1848	3.000
0.1872	3.000
