BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
Ar                                                              
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s2)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s3)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s4)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s5)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
O2                                                              
o2_cs.txt
--------------------------------------------------
O2(0.98)                                                        
o2_cs.txt
--------------------------------------------------
O2(1.63)                                                        
o2_cs.txt
--------------------------------------------------
H2O                                                             
h2o_and_h_cs.txt
--------------------------------------------------
H                                                               
h2o_and_h_cs.txt
--------------------------------------------------
H(2p)(10.2eV)                                                   
h2o_and_h_cs.txt
--------------------------------------------------
H(2s)(10.2eV)                                                   
h2o_and_h_cs.txt
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        300.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.2446E+26
Ion charge parameter                       1.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           200.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-03
Maximum # of iterations                    1000.    
Mole fraction Ar                          0.9868    
Mole fraction Ar(1s2)                     0.1000E-03
Mole fraction Ar(1s3)                     0.1000E-03
Mole fraction Ar(1s4)                     0.1000E-03
Mole fraction Ar(1s5)                     0.1000E-03
Mole fraction O2                          0.1000E-03
Mole fraction O2(0.98)                    0.1000E-03
Mole fraction O2(1.63)                    0.1000E-03
Mole fraction H2O                         0.1218E-01
Mole fraction H                           0.1000E-03
Mole fraction H(2p)(10.2eV)               0.1000E-03
Mole fraction H(2s)(10.2eV)               0.1000E-03
 
 
Energy (eV) 	Electric field / N (Td)                                         
0.7967E-01	0.2000
0.8903E-01	0.2215
0.9946E-01	0.2454
0.1119	0.2718
0.1253	0.3011
0.1418	0.3335
0.1625	0.3695
0.1879	0.4093
0.2198	0.4533
0.2592	0.5022
0.3065	0.5562
0.3601	0.6162
0.4184	0.6825
0.4790	0.7560
0.5402	0.8375
0.6002	0.9277
0.6587	1.028
0.7163	1.138
0.7726	1.261
0.8291	1.397
0.8867	1.547
0.9466	1.714
1.010	1.898
1.077	2.103
1.530	2.329
1.585	2.580
1.648	2.858
1.720	3.166
1.801	3.507
1.894	3.884
1.997	4.303
2.113	4.766
2.240	5.279
2.379	5.848
2.532	6.478
2.690	7.176
2.869	7.948
3.062	8.804
3.266	9.753
3.479	10.80
3.697	11.97
3.914	13.26
4.126	14.68
4.328	16.26
4.519	18.02
4.698	19.96
4.863	22.11
5.017	24.49
5.161	27.12
5.297	30.05
5.426	33.28
5.552	36.87
5.675	40.84
5.797	45.24
5.919	50.11
6.043	55.50
6.169	61.48
6.299	68.10
6.432	75.44
6.570	83.57
6.713	92.57
6.862	102.5
7.017	113.6
7.179	125.8
7.348	139.4
7.527	154.4
7.714	171.0
7.913	189.4
8.125	209.8
8.351	232.4
8.593	257.4
8.855	285.2
9.138	315.9
9.448	349.9
9.787	387.6
10.16	429.3
10.58	475.6
11.04	526.8
11.55	583.5
12.13	646.4
12.78	716.0
13.52	793.1
14.37	878.6
15.32	973.2
16.42	1078.
17.67	1194.
19.11	1323.
20.76	1465.
22.65	1623.
24.82	1798.
27.30	1991.
30.16	2206.
33.44	2443.
37.21	2707.
41.58	2998.
46.65	3321.
52.57	3679.
59.52	4075.
67.77	4514.
77.64	5000.
 
 
Energy (eV) 	Grid type                                                       
0.7967E-01	0.000
0.8903E-01	3.000
0.9946E-01	3.000
0.1119	3.000
0.1253	3.000
0.1418	3.000
0.1625	3.000
0.1879	3.000
0.2198	3.000
0.2592	3.000
0.3065	3.000
0.3601	3.000
0.4184	3.000
0.4790	3.000
0.5402	3.000
0.6002	3.000
0.6587	3.000
0.7163	3.000
0.7726	3.000
0.8291	3.000
0.8867	3.000
0.9466	3.000
1.010	3.000
1.077	3.000
1.530	3.000
1.585	3.000
1.648	3.000
1.720	3.000
1.801	3.000
1.894	3.000
1.997	3.000
2.113	3.000
2.240	3.000
2.379	3.000
2.532	3.000
2.690	3.000
2.869	3.000
3.062	3.000
3.266	3.000
3.479	3.000
3.697	3.000
3.914	3.000
4.126	3.000
4.328	3.000
4.519	3.000
4.698	3.000
4.863	3.000
5.017	3.000
5.161	3.000
5.297	3.000
5.426	3.000
5.552	3.000
5.675	3.000
5.797	3.000
5.919	3.000
6.043	3.000
6.169	3.000
6.299	3.000
6.432	3.000
6.570	3.000
6.713	3.000
6.862	3.000
7.017	3.000
7.179	3.000
7.348	3.000
7.527	3.000
7.714	3.000
7.913	3.000
8.125	3.000
8.351	3.000
8.593	3.000
8.855	3.000
9.138	3.000
9.448	3.000
9.787	3.000
10.16	3.000
10.58	3.000
11.04	3.000
11.55	3.000
12.13	3.000
12.78	3.000
13.52	3.000
14.37	3.000
15.32	3.000
16.42	3.000
17.67	3.000
19.11	3.000
20.76	3.000
22.65	3.000
24.82	3.000
27.30	3.000
30.16	3.000
33.44	3.000
37.21	3.000
41.58	3.000
46.65	3.000
52.57	3.000
59.52	3.000
67.77	3.000
77.64	3.000
 
 
Energy (eV) 	Maximum energy                                                  
0.7967E-01	200.0
0.8903E-01	3.001
0.9946E-01	3.001
0.1119	3.001
0.1253	3.574
0.1418	3.574
0.1625	3.574
0.1879	4.257
0.2198	4.257
0.2592	4.257
0.3065	4.257
0.3601	5.070
0.4184	5.070
0.4790	5.070
0.5402	5.070
0.6002	6.038
0.6587	6.038
0.7163	6.038
0.7726	7.192
0.8291	7.192
0.8867	7.192
0.9466	7.192
1.010	8.565
1.077	8.565
1.530	8.565
1.585	28.68
1.648	28.68
1.720	28.68
1.801	28.68
1.894	28.68
1.997	28.68
2.113	28.68
2.240	28.68
2.379	28.68
2.532	33.99
2.690	33.99
2.869	33.99
3.062	33.99
3.266	33.99
3.479	33.99
3.697	33.99
3.914	33.99
4.126	33.99
4.328	33.99
4.519	33.99
4.698	33.99
4.863	33.99
5.017	40.27
5.161	40.27
5.297	40.27
5.426	40.27
5.552	40.27
5.675	40.27
5.797	40.27
5.919	40.27
6.043	40.27
6.169	40.27
6.299	40.27
6.432	40.27
6.570	40.27
6.713	47.69
6.862	47.69
7.017	47.69
7.179	47.69
7.348	56.46
7.527	56.46
7.714	56.46
7.913	66.83
8.125	66.83
8.351	79.09
8.593	79.09
8.855	93.57
9.138	93.57
9.448	110.7
9.787	110.7
10.16	130.9
10.58	130.9
11.04	154.9
11.55	183.2
12.13	183.2
12.78	216.6
13.52	216.6
14.37	256.1
15.32	302.9
16.42	358.1
17.67	423.4
19.11	500.6
20.76	500.6
22.65	591.8
24.82	699.6
27.30	977.8
30.16	1156.
33.44	1366.
37.21	1615.
41.58	1910.
46.65	2257.
52.57	3154.
59.52	3729.
67.77	4408.
77.64	5210.
 
 
Energy (eV)	Mean energy (eV)
0.7967E-01	0.7967E-01
0.8903E-01	0.8903E-01
0.9946E-01	0.9946E-01
0.1119	0.1119
0.1253	0.1253
0.1418	0.1418
0.1625	0.1625
0.1879	0.1879
0.2198	0.2198
0.2592	0.2592
0.3065	0.3065
0.3601	0.3601
0.4184	0.4184
0.4790	0.4790
0.5402	0.5402
0.6002	0.6002
0.6587	0.6587
0.7163	0.7163
0.7726	0.7726
0.8291	0.8291
0.8867	0.8867
0.9466	0.9466
1.010	1.010
1.077	1.077
1.530	1.530
1.585	1.585
1.648	1.648
1.720	1.720
1.801	1.801
1.894	1.894
1.997	1.997
2.113	2.113
2.240	2.240
2.379	2.379
2.532	2.532
2.690	2.690
2.869	2.869
3.062	3.062
3.266	3.266
3.479	3.479
3.697	3.697
3.914	3.914
4.126	4.126
4.328	4.328
4.519	4.519
4.698	4.698
4.863	4.863
5.017	5.017
5.161	5.161
5.297	5.297
5.426	5.426
5.552	5.552
5.675	5.675
5.797	5.797
5.919	5.919
6.043	6.043
6.169	6.169
6.299	6.299
6.432	6.432
6.570	6.570
6.713	6.713
6.862	6.862
7.017	7.017
7.179	7.179
7.348	7.348
7.527	7.527
7.714	7.714
7.913	7.913
8.125	8.125
8.351	8.351
8.593	8.593
8.855	8.855
9.138	9.138
9.448	9.448
9.787	9.787
10.16	10.16
10.58	10.58
11.04	11.04
11.55	11.55
12.13	12.13
12.78	12.78
13.52	13.52
14.37	14.37
15.32	15.32
16.42	16.42
17.67	17.67
19.11	19.11
20.76	20.76
22.65	22.65
24.82	24.82
27.30	27.30
30.16	30.16
33.44	33.44
37.21	37.21
41.58	41.58
46.65	46.65
52.57	52.57
59.52	59.52
67.77	67.77
77.64	77.64
 
 
Energy (eV)	Mobility *N (1/m/V/s)
0.7967E-01	0.3667E+26
0.8903E-01	0.3612E+26
0.9946E-01	0.3551E+26
0.1119	0.3479E+26
0.1253	0.3388E+26
0.1418	0.3293E+26
0.1625	0.3173E+26
0.1879	0.3033E+26
0.2198	0.2866E+26
0.2592	0.2675E+26
0.3065	0.2463E+26
0.3601	0.2243E+26
0.4184	0.2026E+26
0.4790	0.1820E+26
0.5402	0.1632E+26
0.6002	0.1467E+26
0.6587	0.1322E+26
0.7163	0.1197E+26
0.7726	0.1089E+26
0.8291	0.9954E+25
0.8867	0.9130E+25
0.9466	0.8396E+25
1.010	0.7740E+25
1.077	0.7143E+25
1.530	0.5661E+25
1.585	0.5291E+25
1.648	0.4933E+25
1.720	0.4586E+25
1.801	0.4250E+25
1.894	0.3926E+25
1.997	0.3615E+25
