BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
Ar                                                              
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s2)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s3)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s4)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s5)                                                         
total_cross_sections_paschen_superelastic.txt
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        300.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.2446E+26
Ion charge parameter                       1.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           200.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-03
Maximum # of iterations                    1000.    
Mole fraction Ar                          0.9899    
Mole fraction Ar(1s2)                     0.2525E-02
Mole fraction Ar(1s3)                     0.2525E-02
Mole fraction Ar(1s4)                     0.2525E-02
Mole fraction Ar(1s5)                     0.2525E-02
 
 
Energy (eV) 	Electric field / N (Td)                                         
0.4277E-01	0.2000
0.4644E-01	0.2215
0.5115E-01	0.2454
0.5698E-01	0.2718
0.6488E-01	0.3011
0.7524E-01	0.3335
0.8935E-01	0.3695
0.1085	0.4093
0.1341	0.4533
0.1667	0.5022
0.2069	0.5562
0.2539	0.6162
0.3064	0.6825
0.3610	0.7560
0.4158	0.8375
0.4684	0.9277
0.5175	1.028
0.5624	1.138
0.6028	1.261
0.6391	1.397
0.6720	1.547
0.7016	1.714
0.7287	1.898
0.7541	2.103
0.7781	2.329
0.8013	2.580
0.8244	2.858
0.8475	3.166
0.8712	3.507
0.8960	3.884
0.9223	4.303
0.9505	4.766
0.9812	5.279
1.015	5.848
1.052	6.478
1.093	7.176
1.139	7.948
1.190	8.804
1.247	9.753
1.311	10.80
1.383	11.97
1.545	13.26
1.632	14.68
1.729	16.26
1.836	18.02
1.952	19.96
2.079	22.11
2.217	24.49
2.366	27.12
2.518	30.05
2.691	33.28
2.879	36.87
3.080	40.84
3.296	45.24
3.527	50.11
3.771	55.50
4.028	61.48
4.294	68.10
4.567	75.44
4.847	83.57
5.128	92.57
5.411	102.5
5.693	113.6
5.975	125.8
6.257	139.4
6.538	154.4
6.820	171.0
7.103	189.4
7.391	209.8
7.684	232.4
7.986	257.4
8.300	285.2
8.628	315.9
8.977	349.9
9.349	387.6
9.751	429.3
10.19	475.6
10.67	526.8
11.20	583.5
11.79	646.4
12.45	716.0
13.20	793.1
14.04	878.6
15.00	973.2
16.09	1078.
17.33	1194.
18.76	1323.
20.40	1465.
22.27	1623.
24.42	1798.
26.88	1991.
29.70	2206.
32.95	2443.
36.69	2707.
41.02	2998.
46.03	3321.
51.89	3679.
58.77	4075.
66.94	4514.
76.70	5000.
 
 
Energy (eV) 	Grid type                                                       
0.4277E-01	0.000
0.4644E-01	3.000
0.5115E-01	3.000
0.5698E-01	3.000
0.6488E-01	3.000
0.7524E-01	3.000
0.8935E-01	3.000
0.1085	3.000
0.1341	3.000
0.1667	3.000
0.2069	3.000
0.2539	3.000
0.3064	3.000
0.3610	3.000
0.4158	3.000
0.4684	3.000
0.5175	3.000
0.5624	3.000
0.6028	3.000
0.6391	3.000
0.6720	3.000
0.7016	3.000
0.7287	3.000
0.7541	3.000
0.7781	3.000
0.8013	3.000
0.8244	3.000
0.8475	3.000
0.8712	3.000
0.8960	3.000
0.9223	3.000
0.9505	3.000
0.9812	3.000
1.015	3.000
1.052	3.000
1.093	3.000
1.139	3.000
1.190	3.000
1.247	3.000
1.311	3.000
1.383	3.000
1.545	3.000
1.632	3.000
1.729	3.000
1.836	3.000
1.952	3.000
