BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
Ar                                                              
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s2)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s3)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s4)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s5)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
O2                                                              
o2_cs.txt
--------------------------------------------------
O2(0.98)                                                        
o2_cs.txt
--------------------------------------------------
O2(1.63)                                                        
o2_cs.txt
--------------------------------------------------
H2O                                                             
h2o_and_h_cs.txt
--------------------------------------------------
H                                                               
h2o_and_h_cs.txt
--------------------------------------------------
H(2p)(10.2eV)                                                   
h2o_and_h_cs.txt
--------------------------------------------------
H(2s)(10.2eV)                                                   
h2o_and_h_cs.txt
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        300.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.2446E+26
Ion charge parameter                       1.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           200.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-03
Maximum # of iterations                    1000.    
Mole fraction Ar                          0.9700    
Mole fraction Ar(1s2)                     0.1000E-02
Mole fraction Ar(1s3)                     0.1000E-02
Mole fraction Ar(1s4)                     0.1000E-02
Mole fraction Ar(1s5)                     0.1000E-02
Mole fraction O2                          0.1000E-02
Mole fraction O2(0.98)                    0.1000E-02
Mole fraction O2(1.63)                    0.1000E-02
Mole fraction H2O                         0.2000E-01
Mole fraction H                           0.1000E-02
Mole fraction H(2p)(10.2eV)               0.1000E-02
Mole fraction H(2s)(10.2eV)               0.1000E-02
 
 
Energy (eV) 	Electric field / N (Td)                                         
0.1395E-01	0.2000
0.1578E-01	0.2215
0.1809E-01	0.2454
0.2082E-01	0.2718
0.2439E-01	0.3011
0.3194E-01	0.3335
0.3891E-01	0.3695
0.4427E-01	0.4093
0.5063E-01	0.4533
0.5819E-01	0.5022
0.6721E-01	0.5562
0.7917E-01	0.6162
0.9221E-01	0.6825
0.1076	0.7560
0.1275	0.8375
0.1529	0.9277
0.1832	1.028
0.2196	1.138
0.2622	1.261
0.3107	1.397
0.3616	1.547
0.4142	1.714
0.4667	1.898
0.5185	2.103
0.5681	2.329
0.6157	2.580
0.6617	2.858
0.7071	3.166
0.7515	3.507
0.7963	3.884
0.8422	4.303
0.8905	4.766
0.9417	5.279
0.9970	5.848
1.620	6.478
1.664	7.176
1.716	7.948
1.775	8.804
1.843	9.753
1.922	10.80
2.011	11.97
2.111	13.26
2.224	14.68
2.348	16.26
2.486	18.02
2.631	19.96
2.796	22.11
2.976	24.49
3.171	27.12
3.381	30.05
3.603	33.28
3.837	36.87
4.078	40.84
4.324	45.24
4.571	50.11
4.818	55.50
5.061	61.48
5.300	68.10
5.535	75.44
5.766	83.57
5.993	92.57
6.218	102.5
6.441	113.6
6.665	125.8
6.889	139.4
7.116	154.4
7.347	171.0
7.584	189.4
7.830	209.8
8.085	232.4
8.354	257.4
8.639	285.2
8.943	315.9
9.271	349.9
9.626	387.6
10.01	429.3
10.44	475.6
10.92	526.8
11.44	583.5
12.03	646.4
12.69	716.0
13.44	793.1
14.29	878.6
15.26	973.2
16.36	1078.
17.63	1194.
19.07	1323.
20.73	1465.
22.63	1623.
24.80	1798.
27.30	1991.
30.17	2206.
33.46	2443.
37.25	2707.
41.64	2998.
46.72	3321.
52.66	3679.
59.65	4075.
67.94	4514.
77.84	5000.
 
 
Energy (eV) 	Grid type                                                       
0.1395E-01	0.000
0.1578E-01	3.000
0.1809E-01	3.000
0.2082E-01	3.000
0.2439E-01	3.000
0.3194E-01	3.000
0.3891E-01	3.000
0.4427E-01	3.000
0.5063E-01	3.000
0.5819E-01	3.000
