BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
Ar                                                              
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s2)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s3)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s4)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s5)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
O2                                                              
o2_cs.txt
--------------------------------------------------
O2(0.98)                                                        
o2_cs.txt
--------------------------------------------------
O2(1.63)                                                        
o2_cs.txt
--------------------------------------------------
H2O                                                             
h2o_and_h_cs.txt
--------------------------------------------------
H                                                               
h2o_and_h_cs.txt
--------------------------------------------------
H(2p)(10.2eV)                                                   
h2o_and_h_cs.txt
--------------------------------------------------
H(2s)(10.2eV)                                                   
h2o_and_h_cs.txt
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        300.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.2446E+26
Ion charge parameter                       1.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           200.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-03
Maximum # of iterations                    1000.    
Mole fraction Ar                          0.8900    
Mole fraction Ar(1s2)                     0.1000E-02
Mole fraction Ar(1s3)                     0.1000E-02
Mole fraction Ar(1s4)                     0.1000E-02
Mole fraction Ar(1s5)                     0.1000E-02
Mole fraction O2                          0.1000E-02
Mole fraction O2(0.98)                    0.1000E-02
Mole fraction O2(1.63)                    0.1000E-02
Mole fraction H2O                         0.1000    
Mole fraction H                           0.1000E-02
Mole fraction H(2p)(10.2eV)               0.1000E-02
Mole fraction H(2s)(10.2eV)               0.1000E-02
 
 
Energy (eV) 	Electric field / N (Td)                                         
0.9632E-02	0.2000
0.1042E-01	0.2215
0.1135E-01	0.2454
0.1247E-01	0.2718
0.1382E-01	0.3011
0.1544E-01	0.3335
0.1739E-01	0.3695
0.1958E-01	0.4093
0.2229E-01	0.4533
0.2543E-01	0.5022
0.2917E-01	0.5562
0.3323E-01	0.6162
0.3777E-01	0.6825
0.4295E-01	0.7560
0.4847E-01	0.8375
0.5737E-01	0.9277
0.6358E-01	1.028
0.7028E-01	1.138
0.7803E-01	1.261
0.8575E-01	1.397
0.9414E-01	1.547
0.1034	1.714
0.1138	1.898
0.1258	2.103
0.1402	2.329
0.1581	2.580
0.1812	2.858
0.2104	3.166
0.2473	3.507
0.2924	3.884
0.3446	4.303
0.4036	4.766
0.4659	5.279
0.5314	5.848
0.5985	6.478
0.6675	7.176
0.7394	7.948
0.8147	8.804
1.539	9.753
1.591	10.80
1.655	11.97
1.730	13.26
1.819	14.68
1.924	16.26
2.045	18.02
2.185	19.96
2.343	22.11
2.516	24.49
2.713	27.12
2.929	30.05
3.163	33.28
3.412	36.87
3.672	40.84
3.938	45.24
4.207	50.11
4.477	55.50
4.741	61.48
5.001	68.10
5.256	75.44
5.504	83.57
5.748	92.57
5.988	102.5
6.225	113.6
6.461	125.8
6.697	139.4
6.935	154.4
7.177	171.0
7.425	189.4
7.681	209.8
7.949	232.4
8.229	257.4
8.526	285.2
8.844	315.9
9.186	349.9
9.556	387.6
9.961	429.3
10.41	475.6
10.90	526.8
11.44	583.5
12.05	646.4
12.74	716.0
13.52	793.1
14.40	878.6
15.40	973.2
16.54	1078.
17.85	1194.
19.34	1323.
21.05	1465.
23.02	1623.
25.27	1798.
27.85	1991.
30.81	2206.
34.21	2443.
38.14	2707.
42.68	2998.
47.96	3321.
54.13	3679.
61.40	4075.
70.04	4514.
80.40	5000.
 
 
Energy (eV) 	Grid type                                                       
0.9632E-02	0.000
0.1042E-01	3.000
0.1135E-01	3.000
0.1247E-01	3.000
0.1382E-01	3.000
0.1544E-01	3.000
0.1739E-01	3.000
