BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
Ar                                                              
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s2)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s3)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s4)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s5)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
O2                                                              
o2_cs.txt
--------------------------------------------------
O2(0.98)                                                        
o2_cs.txt
--------------------------------------------------
O2(1.63)                                                        
o2_cs.txt
--------------------------------------------------
H2O                                                             
h2o_and_h_cs.txt
--------------------------------------------------
H                                                               
h2o_and_h_cs.txt
--------------------------------------------------
H(2p)(10.2eV)                                                   
h2o_and_h_cs.txt
--------------------------------------------------
H(2s)(10.2eV)                                                   
h2o_and_h_cs.txt
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        300.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.2446E+26
Ion charge parameter                       1.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           200.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-03
Maximum # of iterations                    1000.    
Mole fraction Ar                          0.9764    
Mole fraction Ar(1s2)                     0.1000E-03
Mole fraction Ar(1s3)                     0.1000E-03
Mole fraction Ar(1s4)                     0.1000E-03
Mole fraction Ar(1s5)                     0.1000E-03
Mole fraction O2                          0.1000E-03
Mole fraction O2(0.98)                    0.1000E-03
Mole fraction O2(1.63)                    0.1000E-03
Mole fraction H2O                         0.2262E-01
Mole fraction H                           0.1000E-03
Mole fraction H(2p)(10.2eV)               0.1000E-03
Mole fraction H(2s)(10.2eV)               0.1000E-03
 
 
Energy (eV) 	Electric field / N (Td)                                         
0.6315E-01	0.2000
0.6964E-01	0.2215
0.7696E-01	0.2454
0.8406E-01	0.2718
0.9154E-01	0.3011
0.9953E-01	0.3335
0.1082	0.3695
0.1181	0.4093
0.1289	0.4533
0.1419	0.5022
0.1582	0.5562
0.1786	0.6162
0.2051	0.6825
0.2394	0.7560
0.2829	0.8375
0.3353	0.9277
0.3959	1.028
0.4621	1.138
0.5319	1.261
0.6040	1.397
0.6765	1.547
0.7498	1.714
0.8248	1.898
0.9019	2.103
0.9828	2.329
1.474	2.580
1.535	2.858
1.605	3.166
1.686	3.507
1.777	3.884
1.880	4.303
1.995	4.766
2.124	5.279
2.265	5.848
2.420	6.478
2.582	7.176
2.765	7.948
2.960	8.804
3.168	9.753
3.386	10.80
3.608	11.97
3.830	13.26
4.047	14.68
4.256	16.26
4.452	18.02
4.635	19.96
4.805	22.11
4.963	24.49
5.111	27.12
5.251	30.05
5.383	33.28
5.511	36.87
5.637	40.84
5.761	45.24
5.885	50.11
6.010	55.50
6.138	61.48
6.269	68.10
6.403	75.44
6.542	83.57
6.687	92.57
6.836	102.5
6.992	113.6
7.155	125.8
7.326	139.4
7.505	154.4
7.694	171.0
7.894	189.4
8.107	209.8
8.334	232.4
8.578	257.4
8.841	285.2
9.126	315.9
9.438	349.9
9.779	387.6
10.15	429.3
10.57	475.6
11.03	526.8
11.55	583.5
12.13	646.4
12.79	716.0
13.53	793.1
14.38	878.6
15.34	973.2
16.44	1078.
17.70	1194.
19.15	1323.
20.80	1465.
22.70	1623.
24.87	1798.
27.37	1991.
30.24	2206.
33.53	2443.
37.32	2707.
41.71	2998.
46.80	3321.
52.75	3679.
59.74	4075.
68.04	4514.
77.96	5000.
 
 
Energy (eV) 	Grid type                                                       
0.6315E-01	0.000
0.6964E-01	3.000
0.7696E-01	3.000
0.8406E-01	3.000
0.9154E-01	3.000
0.9953E-01	3.000
0.1082	3.000
0.1181	3.000
0.1289	3.000
0.1419	3.000
0.1582	3.000
0.1786	3.000
0.2051	3.000
0.2394	3.000
0.2829	3.000
